Release,Date,Author Count,Commit Count
CakePHP 2.10.24 Released,2020-12-16T02:48:50+00:00,0,0
CakePHP 4.2.0 released,2020-12-21T03:04:22+00:00,0,0
CakePHP 4.2.1 released,2020-12-27T01:51:39+00:00,0,0
CakePHP 3.9.5 released,2020-12-29T02:11:56+00:00,0,0
CakePHP 4.2.2 released,2021-01-07T03:12:19+00:00,0,0
CakePHP 3.9.6 released,2021-01-24T03:22:10+00:00,0,0
CakePHP 4.2.3 released,2021-01-25T02:26:41+00:00,0,0
CakePHP 4.2.4 released,2021-02-28T01:41:15+00:00,0,0
CakePHP 3.9.7 released,2021-03-07T02:03:02+00:00,0,0
CakePHP 3.9.8 released,2021-03-10T02:10:31+00:00,0,0
CakePHP 3.10.0-RC1 released,2021-03-28T01:48:35+00:00,0,0
CakePHP 4.2.5 released,2021-04-03T01:07:40+00:00,0,0
CakePHP 3.9.9 Released,2021-04-24T04:48:18+00:00,0,0
CakePHP 4.2.6 released,2021-05-05T19:28:02+00:00,0,0
CakePHP 3.9.10 released,2021-05-31T01:20:39+00:00,0,0
CakePHP 4.2.7 released,2021-06-16T21:23:42+00:00,0,0
CakePHP 3.10.0 released,2021-06-20T01:14:53+00:00,0,0
CakePHP 4.2.8 released,2021-07-17T02:15:55+00:00,0,0
CakePHP 4.2.9 released,2021-09-11T00:24:13+00:00,0,0
CakePHP 4.3.0-RC1 released,2021-09-12T23:29:12+00:00,0,0
CakePHP 4.3.0-RC2 released,2021-09-26T18:46:08+00:00,0,0
CakePHP 4.3.0-RC3 released,2021-10-07T03:06:38+00:00,0,0
CakePHP 4.2.10 released,2021-10-14T01:50:57+00:00,0,0
CakePHP 4.3.0-RC4 released,2021-10-17T01:39:46+00:00,0,0
CakePHP 4.3.0 released,2021-10-24T01:34:13+00:00,0,0
CakePHP 3.10.1 released,2021-10-29T20:15:49+00:00,0,0
CakePHP 4.3.1 released,2021-11-06T15:39:56+00:00,0,0
CakePHP 4.3.2 released,2021-11-26T19:47:23+00:00,0,0
CakePHP 3.10.2 released,2021-12-13T04:08:23+00:00,0,0
CakePHP 4.3.3 released,2021-12-17T16:07:12+00:00,0,0
CakePHP 4.3.4 released,2022-01-15T02:43:36+00:00,0,0
CakePHP 4.3.5 released,2022-02-05T04:15:31+00:00,0,0
